dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
16/07/2020,16,7,2020,67717,953,United_States_of_America,US,USA,329064917,America,247.00627688
15/07/2020,15,7,2020,68518,861,United_States_of_America,US,USA,329064917,America,242.24460245
14/07/2020,14,7,2020,58114,400,United_States_of_America,US,USA,329064917,America,234.75732601
13/07/2020,13,7,2020,57258,391,United_States_of_America,US,USA,329064917,America,229.72549213
12/07/2020,12,7,2020,63051,717,United_States_of_America,US,USA,329064917,America,224.07767036
11/07/2020,11,7,2020,66625,806,United_States_of_America,US,USA,329064917,America,217.82814362
10/07/2020,10,7,2020,63004,982,United_States_of_America,US,USA,329064917,America,211.41664275
09/07/2020,9,7,2020,58906,829,United_States_of_America,US,USA,329064917,America,204.71431781
08/07/2020,8,7,2020,57473,1174,United_States_of_America,US,USA,329064917,America,197.24861766
07/07/2020,7,7,2020,49990,359,United_States_of_America,US,USA,329064917,America,190.33417652
06/07/2020,6,7,2020,49093,271,United_States_of_America,US,USA,329064917,America,184.68179639
05/07/2020,5,7,2020,45221,242,United_States_of_America,US,USA,329064917,America,177.60112665
04/07/2020,4,7,2020,54442,694,United_States_of_America,US,USA,329064917,America,174.23917603
03/07/2020,3,7,2020,53399,678,United_States_of_America,US,USA,329064917,America,166.78380819
02/07/2020,2,7,2020,52048,652,United_States_of_America,US,USA,329064917,America,158.99294424
01/07/2020,1,7,2020,43880,1270,United_States_of_America,US,USA,329064917,America,150.94316481
30/06/2020,30,6,2020,41556,336,United_States_of_America,US,USA,329064917,America,144.81215571
29/06/2020,29,6,2020,38673,265,United_States_of_America,US,USA,329064917,America,138.24840525
28/06/2020,28,6,2020,42486,500,United_States_of_America,US,USA,329064917,America,132.43496267
27/06/2020,27,6,2020,45527,623,United_States_of_America,US,USA,329064917,America,127.28521892
26/06/2020,26,6,2020,40949,2437,United_States_of_America,US,USA,329064917,America,121.24142666
25/06/2020,25,6,2020,34339,751,United_States_of_America,US,USA,329064917,America,115.75132453
24/06/2020,24,6,2020,34720,826,United_States_of_America,US,USA,329064917,America,111.580415
23/06/2020,23,6,2020,31390,427,United_States_of_America,US,USA,329064917,America,106.70143849
22/06/2020,22,6,2020,25793,256,United_States_of_America,US,USA,329064917,America,102.88213131
21/06/2020,21,6,2020,34158,607,United_States_of_America,US,USA,329064917,America,101.82124641
20/06/2020,20,6,2020,29909,678,United_States_of_America,US,USA,329064917,America,98.19430249
19/06/2020,19,6,2020,27762,717,United_States_of_America,US,USA,329064917,America,96.75659226
18/06/2020,18,6,2020,25559,754,United_States_of_America,US,USA,329064917,America,94.74422337
17/06/2020,17,6,2020,23705,836,United_States_of_America,US,USA,329064917,America,92.96341974
16/06/2020,16,6,2020,19957,395,United_States_of_America,US,USA,329064917,America,92.00281901
15/06/2020,15,6,2020,19543,296,United_States_of_America,US,USA,329064917,America,92.3459124
14/06/2020,14,6,2020,25540,767,United_States_of_America,US,USA,329064917,America,92.42613973
13/06/2020,13,6,2020,25639,849,United_States_of_America,US,USA,329064917,America,91.74451131
12/06/2020,12,6,2020,22883,896,United_States_of_America,US,USA,329064917,America,91.65273611
11/06/2020,11,6,2020,20614,918,United_States_of_America,US,USA,329064917,America,91.32878787
10/06/2020,10,6,2020,18665,999,United_States_of_America,US,USA,329064917,America,90.75352144
09/06/2020,9,6,2020,18822,493,United_States_of_America,US,USA,329064917,America,90.82797483
08/06/2020,8,6,2020,22302,712,United_States_of_America,US,USA,329064917,America,90.90151655
07/06/2020,7,6,2020,22223,659,United_States_of_America,US,USA,329064917,America,90.37456886
06/06/2020,6,6,2020,25178,932,United_States_of_America,US,USA,329064917,America,90.07462804
05/06/2020,5,6,2020,21140,1036,United_States_of_America,US,USA,329064917,America,89.761316
04/06/2020,4,6,2020,19699,994,United_States_of_America,US,USA,329064917,America,91.0662257
03/06/2020,3,6,2020,20544,1034,United_States_of_America,US,USA,329064917,America,92.15598027
02/06/2020,2,6,2020,21086,764,United_States_of_America,US,USA,329064917,America,91.98154661
01/06/2020,1,6,2020,19807,602,United_States_of_America,US,USA,329064917,America,92.21098462
31/05/2020,31,5,2020,23297,945,United_States_of_America,US,USA,329064917,America,91.92715005
30/05/2020,30,5,2020,25337,1219,United_States_of_America,US,USA,329064917,America,92.28878082
29/05/2020,29,5,2020,21817,1175,United_States_of_America,US,USA,329064917,America,92.34074625
28/05/2020,28,5,2020,18721,1526,United_States_of_America,US,USA,329064917,America,93.95927187
27/05/2020,27,5,2020,18910,696,United_States_of_America,US,USA,329064917,America,94.58559206
26/05/2020,26,5,2020,19064,500,United_States_of_America,US,USA,329064917,America,95.53920329
25/05/2020,25,5,2020,20568,633,United_States_of_America,US,USA,329064917,America,95.25141813
24/05/2020,24,5,2020,21236,1080,United_States_of_America,US,USA,329064917,America,95.15721179
23/05/2020,23,5,2020,24147,1305,United_States_of_America,US,USA,329064917,America,96.48704058
22/05/2020,22,5,2020,25434,1263,United_States_of_America,US,USA,329064917,America,97.34097543
21/05/2020,21,5,2020,23285,1518,United_States_of_America,US,USA,329064917,America,98.2328967
20/05/2020,20,5,2020,19970,1568,United_States_of_America,US,USA,329064917,America,98.48907716
19/05/2020,19,5,2020,21841,791,United_States_of_America,US,USA,329064917,America,99.66544079
18/05/2020,18,5,2020,18873,808,United_States_of_America,US,USA,329064917,America,99.89396712
17/05/2020,17,5,2020,24487,1186,United_States_of_America,US,USA,329064917,America,101.7474008
16/05/2020,16,5,2020,25508,1662,United_States_of_America,US,USA,329064917,America,103.20638344
15/05/2020,15,5,2020,27143,1773,United_States_of_America,US,USA,329064917,America,105.77335414
14/05/2020,14,5,2020,20782,1746,United_States_of_America,US,USA,329064917,America,106.6163489
13/05/2020,13,5,2020,22048,1703,United_States_of_America,US,USA,329064917,America,108.60501425
12/05/2020,12,5,2020,18117,1156,United_States_of_America,US,USA,329064917,America,109.23832394
11/05/2020,11,5,2020,20258,734,United_States_of_America,US,USA,329064917,America,110.58273951
10/05/2020,10,5,2020,25612,1614,United_States_of_America,US,USA,329064917,America,112.5881189
09/05/2020,9,5,2020,26957,1510,United_States_of_America,US,USA,329064917,America,119.55239823
08/05/2020,8,5,2020,28369,2239,United_States_of_America,US,USA,329064917,America,117.8490869
07/05/2020,7,5,2020,24128,2353,United_States_of_America,US,USA,329064917,America,117.2941812
06/05/2020,6,5,2020,23841,2144,United_States_of_America,US,USA,329064917,America,115.30673141
05/05/2020,5,5,2020,22593,1252,United_States_of_America,US,USA,329064917,America,119.39346302
04/05/2020,4,5,2020,24972,1297,United_States_of_America,US,USA,329064917,America,121.05635679
03/05/2020,3,5,2020,29288,1317,United_States_of_America,US,USA,329064917,America,120.94361308
02/05/2020,2,5,2020,33955,2062,United_States_of_America,US,USA,329064917,America,122.04795445
01/05/2020,1,5,2020,29917,2040,United_States_of_America,US,USA,329064917,America,121.09920548
30/04/2020,30,4,2020,27326,2611,United_States_of_America,US,USA,329064917,America,121.63101544
29/04/2020,29,4,2020,24132,2110,United_States_of_America,US,USA,329064917,America,122.48859698
28/04/2020,28,4,2020,22541,1369,United_States_of_America,US,USA,329064917,America,123.336454
27/04/2020,27,4,2020,26857,1687,United_States_of_America,US,USA,329064917,America,124.09071247
26/04/2020,26,4,2020,48529,2172,United_States_of_America,US,USA,329064917,America,124.32258161
25/04/2020,25,4,2020,21352,1054,United_States_of_America,US,USA,329064917,America,118.2028165
24/04/2020,24,4,2020,26543,3179,United_States_of_America,US,USA,329064917,America,122.51047717
23/04/2020,23,4,2020,17588,1721,United_States_of_America,US,USA,329064917,America,124.74651012
22/04/2020,22,4,2020,37289,2524,United_States_of_America,US,USA,329064917,America,129.52824138
21/04/2020,21,4,2020,28065,1857,United_States_of_America,US,USA,329064917,America,127.49946236
20/04/2020,20,4,2020,24601,1772,United_States_of_America,US,USA,329064917,America,128.25797531
19/04/2020,19,4,2020,32922,1856,United_States_of_America,US,USA,329064917,America,128.50017676
18/04/2020,18,4,2020,30833,3770,United_States_of_America,US,USA,329064917,America,128.91043016
17/04/2020,17,4,2020,31667,2299,United_States_of_America,US,USA,329064917,America,129.39422527
16/04/2020,16,4,2020,30148,4928,United_States_of_America,US,USA,329064917,America,128.52874255
15/04/2020,15,4,2020,26922,2408,United_States_of_America,US,USA,329064917,America,127.60339322
14/04/2020,14,4,2020,25023,1541,United_States_of_America,US,USA,329064917,America,127.01870616
